N° de compte,Nomenclature du compte,La classe,La rubrique
1,Comptes de Financement Permanent,Financement Permanent,
11,Capitaux Propres,Comptes de Financement Permanent,Capitaux propres
1111,Capital Social,Comptes de Financement Permanent,Capitaux propres
1112,Fonds de Dotation,Comptes de Financement Permanent,Capitaux propres
1117,Capital Personnel,Comptes de Financement Permanent,Capitaux propres
11171,Capital Individuel,Comptes de Financement Permanent,Capitaux propres
11175,Compte de l'Exploitant,Comptes de Financement Permanent,Capitaux propres
1119,"Actionnaires, Capital souscrit non appelé",Comptes de Financement Permanent,Capitaux propres
112,"Primes d’émission, de fusion et d'apport",Comptes de Financement Permanent,Capitaux propres
1121,Primes d'émission,Comptes de Financement Permanent,Capitaux propres
1122,Primes de Fusion,Comptes de Financement Permanent,Capitaux propres
1123,Primes d'apport,Comptes de Financement Permanent,Capitaux propres
113,Ecarts de réévaluation,Comptes de Financement Permanent,Capitaux propres
1130,Ecarts de réévaluation,Comptes de Financement Permanent,Capitaux propres
114,Réserve légale,Comptes de Financement Permanent,Capitaux propres
1140,Réserve légale,Comptes de Financement Permanent,Capitaux propres
115,Autres réserves,Comptes de Financement Permanent,Capitaux propres
1151, Réserves statutaires ou contractuelles ,Comptes de Financement Permanent,Capitaux propres
1152,Réserves facultatives ,Comptes de Financement Permanent,Capitaux propres
1155,Réserves réglementaires,Comptes de Financement Permanent,Capitaux propres
116,Report à nouveau,Comptes de Financement Permanent,Capitaux propres
1161,Report à nouveau (solde créditeur),Comptes de Financement Permanent,Capitaux propres
1169,Report à nouveau (solde débiteur),Comptes de Financement Permanent,Capitaux propres
118,Résultat net en Instance d'Affectation,Comptes de Financement Permanent,Capitaux propres
1181,Résultat net en Instance d'Affectation (Solde Créditeur),Comptes de Financement Permanent,Capitaux propres
1189,Résultat net en Instance d'Affectation (Solde débiteur),Comptes de Financement Permanent,Capitaux propres
119,Résultat net de l'exercice,Comptes de Financement Permanent,Capitaux propres
1191,Résultat net de l'exercice (Solde créditeur),Comptes de Financement Permanent,Capitaux propres
1199,Résultat net de l'exercice (Solde débiteur),Comptes de Financement Permanent,Capitaux propres
13,Capitaux Propres et Assimilés,Comptes de Financement Permanent,Capitaux Propres et Assimilés
131,Subventions d'investissement,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1311,Subvention d'investissement reçus,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1319,Subvention d'investissement inscrits au compte de produit et charges,Comptes de Financement Permanent,Capitaux Propres et Assimilés
135,Provisions réglementées,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1351,Provisions pour amortissements dérogatoires ,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1352,Provisions pour plus-values en instance d'imposition,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1354,Provisions Pour Investissements,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1355,Provisions pour reconstitution des gisements,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1356,Provisions pour acquisition et construction de logements,Comptes de Financement Permanent,Capitaux Propres et Assimilés
1358,Autres provisions réglementées ,Comptes de Financement Permanent,Capitaux Propres et Assimilés
14,Dettes de Financement,Comptes de Financement Permanent,Dettes de Financement
141,Emprunts Obligataires,Comptes de Financement Permanent,Dettes de Financement
1410,Emprunts Obligataires,Comptes de Financement Permanent,Dettes de Financement
148,Autres dettes de Financement,Comptes de Financement Permanent,Dettes de Financement
1481,Emprunts auprès des établissements de crédits,Comptes de Financement Permanent,Dettes de Financement
1482,Avance de l'Etat,Comptes de Financement Permanent,Dettes de Financement
1483,Dettes rattachées à des participations,Comptes de Financement Permanent,Dettes de Financement
1484,Billets de Fonds,Comptes de Financement Permanent,Dettes de Financement
1485,Avances reçus et comptes courants bloqués,Comptes de Financement Permanent,Dettes de Financement
1486,Fournisseurs d'immobilisations,Comptes de Financement Permanent,Dettes de Financement
1487,Dépôts et cautionnements reçus,Comptes de Financement Permanent,Dettes de Financement
1488,Dettes de Financement diverses,Comptes de Financement Permanent,Dettes de Financement
15,Provisions Durables Pour Risques et Charges,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
151,Provisions pour Risques,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1511,Provisions pour litiges,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1512,Provisions pour garanties données aux clients,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1513,Provisions pour propre assureur,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1514,Provisions pour pertes sur marché à terme,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1515,"Provisions pour amendes, doubles droits, pénalités",Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1516,Provisions pour pertes de change,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1518,Autres provisions pour risque,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
155,Provisions pour charges,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1551,Provisions Pour impôts,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1552,"Provisions, pensions de retraite et obligations similaires",Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1555,Provisions pour charges à répartir sur plusieurs exercices,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
1558,Autres provisions pour charges,Comptes de Financement Permanent,Provisions Durables Pour Risques et Charges
16,Comptes de liaison des établissements et succursales,Comptes de Financement Permanent,Comptes de liaison des établissements et succursales
160,Comptes de liaison des établissements et succursales,Comptes de Financement Permanent,Comptes de liaison des établissements et succursales
1601,Comptes de liaison de sièges,Comptes de Financement Permanent,Comptes de liaison des établissements et succursales
1605,Comptes de liaison des établissements,Comptes de Financement Permanent,Comptes de liaison des établissements et succursales
17,Ecarts de conversion - Passif,Comptes de Financement Permanent,Ecarts de conversion - Passif
171,Augmentation des créances immobilisées,Comptes de Financement Permanent,Ecarts de conversion - Passif
1710,Augmentation des créances immobilisées,Comptes de Financement Permanent,Ecarts de conversion - Passif
172,Diminution des dettes de Financement,Comptes de Financement Permanent,Ecarts de conversion - Passif
1720,Diminution des dettes de Financement,Comptes de Financement Permanent,Ecarts de conversion - Passif
2,Comptes d'Actif Immobilisé,Comptes d'Actif Immobilisé,
21,Immobilisation en non-valeurs,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
211,Frais Préliminaires,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2111,Frais de Constitution,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2112,Frais préalables au démarrage,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2113,Frais d'augmentation du capital,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2114,"Frais sur opérations de Fusion, scissions et transformations",Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2116,Frais de prospection,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2117,Frais de publicité,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2118,Autres frais préliminaires,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
212,Charges à répartir sur plusieurs exercices,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2121,Frais d'acquisition des immobilisations,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2125,Frais d'émission des emprunts,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2128,Autres charges à répartir,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
213,Primes de remboursement des obligations,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
2130,Primes de remboursement des obligations,Comptes d'Actif Immobilisé,Immobilisation en non-valeurs
22,Immobilisation Incorporelles,Comptes d'Actif Immobilisé,Immobilisation Incorporelles
221,Immobilisations en recherche et Développement,Comptes d'Actif Immobilisé,Immobilisation Incorporelles
2210,Immobilisations en recherche et Développement,Comptes d'Actif Immobilisé,Immobilisation Incorporelles
222,"Brevets, marques, droits et valeurs similaires",Comptes d'Actif Immobilisé,Immobilisation Incorporelles
2220,"Brevets, marques, droits et valeurs similaires",Comptes d'Actif Immobilisé,Immobilisation Incorporelles
223,Fonds Commercial,Comptes d'Actif Immobilisé,Immobilisation Incorporelles
2230,Fonds Commercial,Comptes d'Actif Immobilisé,Immobilisation Incorporelles
228, Autres immobilisations Incorporelles,Comptes d'Actif Immobilisé,Immobilisation Incorporelles
2285, Autres immobilisations Incorporelles,Comptes d'Actif Immobilisé,Immobilisation Incorporelles
23,Immobilisations Corporelles ,Comptes d'Actif Immobilisé,Immobilisation corporelles
231,Terrains,Comptes d'Actif Immobilisé,Immobilisation corporelles
2311,Terrains nus,Comptes d'Actif Immobilisé,Immobilisation corporelles
2312,Terrains aménagés,Comptes d'Actif Immobilisé,Immobilisation corporelles
2313,Terrains bâtis,Comptes d'Actif Immobilisé,Immobilisation corporelles
2314,Terrains de gisement,Comptes d'Actif Immobilisé,Immobilisation corporelles
2316,Agencement et aménagements de terrains,Comptes d'Actif Immobilisé,Immobilisation corporelles
2318,Autres terrains,Comptes d'Actif Immobilisé,Immobilisation corporelles
232,Construction,Comptes d'Actif Immobilisé,Immobilisation corporelles
2321,Bâtiments,Comptes d'Actif Immobilisé,Immobilisation corporelles
23211,"Bâtiments industriels (A, B...)",Comptes d'Actif Immobilisé,Immobilisation corporelles
23214,"Bâtiments administratifs et commerciaux (A, B…)",Comptes d'Actif Immobilisé,Immobilisation corporelles
23218,Autres bâtiments,Comptes d'Actif Immobilisé,Immobilisation corporelles
2323,Construction sur terrains d'autrui,Comptes d'Actif Immobilisé,Immobilisation corporelles
2325,Ouvrages d'infrastructures,Comptes d'Actif Immobilisé,Immobilisation corporelles
2327,Agencement et aménagements des constructions,Comptes d'Actif Immobilisé,Immobilisation corporelles
2328,Autres constructions,Comptes d'Actif Immobilisé,Immobilisation corporelles
233,"Installations Techniques, matériel et outillage",Comptes d'Actif Immobilisé,Immobilisation corporelles
2331,Installations Techniques,Comptes d'Actif Immobilisé,Immobilisation corporelles
2332,Matériel et outillage,Comptes d'Actif Immobilisé,Immobilisation corporelles
23321,Matériel,Comptes d'Actif Immobilisé,Immobilisation corporelles
23324,Outillage,Comptes d'Actif Immobilisé,Immobilisation corporelles
2333,Emballages récupérables identifiables,Comptes d'Actif Immobilisé,Immobilisation corporelles
2338,"Autres Installations techniques, matériel et outillage",Comptes d'Actif Immobilisé,Immobilisation corporelles
234,Matériel de transport,Comptes d'Actif Immobilisé,Immobilisation corporelles
2340,Matériel de transport,Comptes d'Actif Immobilisé,Immobilisation corporelles
